"Program_Code","Quality","Sustainability","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Level"
"AC0580",3.83,4.7,"Academic","Glendon","French Studies",17350,"Études francophones","Graduate Degree","PhD","Mario Roy","Donald Ipperciel","PhD"
"AC0610",5.6,5.27,"Academic","Glendon","History",17400,"History","Degree (minor/major)","BA, iBA","Gillian McGillivray","Donald Ipperciel","Bachelor"
"AC0630",5.93,6.19,"Academic","Glendon","International Studies",17950,"International Studies","Degree (minor/major)","BA, iBA","Stanislav J. Kirschbaum","Donald Ipperciel","Bachelor"
"AC0650",4.27,4.1,"Academic","Glendon","Mathematics",17500,"Mathematics","Degree (minor/major)","BA, iBA","David Spring","Donald Ipperciel","Bachelor"
"AC0670",5.88,6.53,"Academic","Glendon","Multi Disciplinary Studies",17550,"Environmental & Health Studies","Degree (minor/major)","BA, iBA","Radu Guiasu","Donald Ipperciel","Bachelor"
"AC0680",4.3,4.7,"Academic","Glendon","Multi Disciplinary Studies",17550,"Drama Studies","Degree (minor/major)","BA, iBA","Guillaume Bernardi","Donald Ipperciel","Bachelor"
"AC0690",2.59,2.81,"Academic","Glendon","Multi Disciplinary Studies",17550,"Individualized Studies","Degree (minor/major)","BA, iBA","Colin Coates","Donald Ipperciel","Bachelor"
"AC0700",5.08,5.92,"Academic","Glendon","Multi Disciplinary Studies",17550,"Linguistics and Languages","Degree (minor/major)","BA","Ian Martin","Donald Ipperciel","Bachelor"
"AC0710",4.99,3.7,"Academic","Glendon","Multi Disciplinary Studies",17550,"Canadian Studies","Degree (minor/major)","BA, iBA","Geoffrey Ewen","Donald Ipperciel","Bachelor"
"AC0730",4.75,4.58,"Academic","Glendon","Philosophy",17600,"Philosophy","Degree (minor/major, certificate)","BA, iBA","Doris Olin","Donald Ipperciel","Bachelor"
"AC0750",5.18,5.51,"Academic","Glendon","Political Science",17650,"Political science","Degree (minor/major)","BA, iBA","Ian Roberge","Donald Ipperciel","Bachelor"
"AC0770",5.74,6.3,"Academic","Glendon","Psychology",17700,"Psychology","Degree (minor/major)","BA, iBA","Timothy Moore","Donald Ipperciel","Bachelor"
"AC0790",5.51,6.3,"Academic","Glendon","Public and International Affairs",9007,"Public and International Affairs","Graduate Degree","MPIA","Michael Barutciski","Donald Ipperciel","Master"
"AC0810",4.65,4.91,"Academic","Glendon","Sociology",17750,"Sociology","Degree (minor/major)","BA, iBA","Brian Singer","Donald Ipperciel","Bachelor"
"AC0830",3.95,3.88,"Academic","Glendon","Womens Studies",18000,"Gender and Women Studies","Degree (minor/major, certificate)","BA, iBA","Gertrude Mianda","Donald Ipperciel","Bachelor"
"AC0850",5.16,4.6,"Academic","Glendon","School of Translation",17800,"Translation Studies","Degree (minor/major, certificate)","BA, iBA","Marie-Christine Aubin","Donald Ipperciel","Bachelor"
"AC0860",4.92,5.07,"Academic","Glendon","School of Translation",17800,"Translation Studies","Graduate Degree","MA","Marie-Christine Aubin","Donald Ipperciel","Master"
"AC0870",5.87,6.01,"Academic","Glendon","School of Translation",17800,"Conference Interpreting","Graduate Degree","MCI","Andrew Clifford","Donald Ipperciel","Master"
"AC0920",6.87,8.87,"Academic","Health","School of Hlth Policy&Mgmt",43200,"Health Studies","Degree (minor/major, certificate)","BHS","Lillie Lum","Harvey Skinner","Bachelor"
"AC0930",6.71,7.09,"Academic","Health","School of Hlth Policy&Mgmt",43200,"Health","Graduate Degree","MA","Lillie Lum","Harvey Skinner","Master"
"AC0940",6.5,7.1,"Academic","Health","School of Hlth Policy&Mgmt",43200,"Health","Graduate Degree","PhD","Mary Wiktorowicz","Harvey Skinner","PhD"
"AC0950",6.31,6.78,"Academic","Health","School of Hlth Policy&Mgmt",43200,"Critical Disablity","Graduate Degree","MA","Lillie Lum","Harvey Skinner","Master"
"AC0960",6.5,6.76,"Academic","Health","School of Hlth Policy&Mgmt",43200,"Critical Disablity","Graduate Degree","PhD","Mary Wiktorowicz","Harvey Skinner","PhD"
"AC0980",7.78,8.08,"Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Degree (minor/major, certificate)","BA","Angelo Belcastro","Harvey Skinner","Bachelor"
"AC0990",7.78,8.08,"Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Degree (minor/major, certificate)","BSc","Angelo Belcastro","Harvey Skinner","Bachelor"
"AC1000",6.7,6.53,"Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Graduate Degree","MSc","Angelo Belcastro","Harvey Skinner","Master"
"AC1010",6.71,5.99,"Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Graduate Degree","MA","Angelo Belcastro","Harvey Skinner","Master"
"AC1020",6.71,5.99,"Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Graduate Degree","MFSc","Angelo Belcastro","Harvey Skinner","Master"
"AC1030",6.25,6.19,"Academic","Health","Kinesiology & Health Scienc",21000,"Kinesiology & Health Science","Graduate Degree","PhD","Angelo Belcastro","Harvey Skinner","PhD"
"AC1050",5.2,6.69,"Academic","Health","School of Nursing",13750,"Nursing","Undergradute Degree","BScN","Claire Mallette","Harvey Skinner","Bachelor"
"AC1060",6.43,7.41,"Academic","Health","School of Nursing",13750,"Nursing","Undergradute Degree","BScN","Claire Mallette","Harvey Skinner","Bachelor"
"AC1070",6.16,5.43,"Academic","Health","School of Nursing",13750,"Nursing","Undergradute Degree","BScN","Claire Mallette","Harvey Skinner","Bachelor"
"AC1080",4.61,4.62,"Academic","Health","School of Nursing",13750,"Nursing","Graduate Degree","MScN","Claire Mallette","Harvey Skinner","Master"
"AC1100",5,6.71,"Academic","Health","Psychology",13400,"Psychology","Degree (minor/major, certificate)","BA","Suzanne Macdonald","Harvey Skinner","Bachelor"
"AC1110",5,6.71,"Academic","Health","Faculty of Health",226,"Psychology","Degree (minor/major, certificate)","BSc","Suzanne Macdonald","Harvey Skinner","Bachelor"
"AC1120",6.78,6.5,"Academic","Health","Psychology",13400,"Psychology","Graduate Degree","MA","Suzanne Macdonald","Harvey Skinner","Master"
"AC1130",6.78,6.79,"Academic","Health","Psychology",13400,"Psychology","Graduate Degree","PhD","Suzanne Macdonald","Harvey Skinner","PhD"
"AC1180",6.34,5.91,"Academic","LA&PS","Anthropology",56550,"Anthropology","Degree (Major/Minor/Certificate)","BA, iBA","Albert Schrauwers","Martin Singer","Bachelor"
"AC1190",5.54,5.11,"Academic","LA&PS","Anthropology",56550,"Anthropology – Social (Social Anthropology)","Graduate Degree","MA","Albert Schrauwers","Martin Singer","Master"
"AC1200",5.7,5.41,"Academic","LA&PS","Anthropology",56550,"Anthropology – Social (Social Anthropology)","Graduate Degree","PhD","Albert Schrauwers","Martin Singer","PhD"
"AC1220",5.61,6.51,"Academic","LA&PS","Communication Studies",57200,"Communication Studies","Degree (Major/Minor/Certificate)","BA, iBA","Kevin Dowler","Martin Singer","Bachelor"
"AC1230",6.24,7.08,"Academic","LA&PS","Communication Studies",57200,"Communication & Culture","Graduate Degree","MA (with Ryerson)","Kevin Dowler","Martin Singer","Master"
"AC1240",6.24,7.08,"Academic","LA&PS","Communication Studies",57200,"Communication & Culture","Graduate Degree","PhD (with Ryerson)","Kevin Dowler","Martin Singer","PhD"
"AC1260",5.88,3.8,"Academic","LA&PS","Languages Lit Ling",56950,"German Studies","Degree (Major/Minor/Certificate)","BA, iBA","Pietro Giordan","Martin Singer","Bachelor"
"AC1270",5.27,3.1,"Academic","LA&PS","Languages Lit Ling",56950,"Italian Culture","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer","Bachelor"
"AC1280",5.25,3.79,"Academic","LA&PS","Languages Lit Ling",56950,"Italian Studies","Degree (Major/Minor/Certificate)","BA, iBA","Pietro Giordan","Martin Singer","Bachelor"
"AC1290",5.18,4.88,"Academic","LA&PS","Languages Lit Ling",56950,"Japanese","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer","Bachelor"
"AC1300",5.87,6.22,"Academic","LA&PS","Languages Lit Ling",56950,"Linguistics","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer","Bachelor"
"AC1310",4.73,3.39,"Academic","LA&PS","Languages Lit Ling",56950,"Portugese Studies","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer","Bachelor"
"AC1320",5.26,4.3,"Academic","LA&PS","Languages Lit Ling",56950,"Spanish","Degree (Major/Minor/Certificate)","BA","Pietro Giordan","Martin Singer","Bachelor"
"AC1325",5.01,4.91,"Academic","LA&PS","Languages Lit Ling",56950,"Non- Degree and Non-Certificate Languages","Non- Degree","Non-Degree Studies","Pietro Giordan","Martin Singer","Other"
"AC1350",4.34,3.4,"Academic","LA&PS","Languages Lit Ling",56950,"Undergraduate Certificates","Degree (Major/Minor/Certificate)","Certificate","Pietro Giordan","Martin Singer","Other"
"AC1355",4.56,5.11,"Academic","LA&PS","Languages Lit Ling",56950,"ESL","Non- Degree","Non-Degree Studies","Pietro Giordan","Martin Singer","Other"
"AC1360",5.44,4.91,"Academic","LA&PS","Languages Lit Ling",56950,"Linguistics & Applied Linguistics","Graduate Degree","MA","Pietro Giordan","Martin Singer","Master"
"AC1370",5.7,4.92,"Academic","LA&PS","Languages Lit Ling",56950,"Linguistics & Applied Linguistics","Graduate Degree","PhD","Pietro Giordan","Martin Singer","PhD"
