"Program_Code","Quality","Sustainability","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Level"
"AC2260",5.44,5.21,"Academic","LA&PS","Social Science",57450,"Work & Labour Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer","Bachelor"
"AC2270",5.27,4.6,"Academic","LA&PS","Social Science",57450,"Development Studies","Graduate Degree","MA","Kimberley White","Martin Singer","Master"
"AC2280",4.92,4.5,"Academic","LA&PS","Social Science",57450,"Social & Political Thought","Graduate Degree","MA","Kimberley White","Martin Singer","Master"
"AC2290",5.63,5.09,"Academic","LA&PS","Social Science",57450,"Social & Political Thought","Graduate Degree","PhD","Kimberley White","Martin Singer","PhD"
"AC2300",5.17,4.1,"Academic","LA&PS","Social Science",57450,"Socio-Legal Studies","Graduate Degree","MA","Kimberley White","Martin Singer","Master"
"AC2310",5.17,4.1,"Academic","LA&PS","Social Science",57450,"Socio-Legal Studies","Graduate Degree","PhD","Kimberley White","Martin Singer","PhD"
"AC2340",7.02,5.91,"Academic","LA&PS","Social Work",57350,"Social Work","Degree (Major/Minor/Certificate)","BSW","Barbara Heron","Martin Singer","Bachelor"
"AC2350",5.7,4.92,"Academic","LA&PS","Social Work",57350,"Social Work","Graduate Degree","MSW","Barbara Heron","Martin Singer","Master"
"AC2360",5.16,4.59,"Academic","LA&PS","Social Work",57350,"Social Work","Graduate Degree","PhD","Barbara Heron","Martin Singer","PhD"
"AC2380",5.7,5.61,"Academic","LA&PS","Sociology",57500,"Sociology","Degree (Major/Minor/Certificate)","BA","Philip Walsh","Martin Singer","Bachelor"
"AC2390",5.7,5.11,"Academic","LA&PS","Sociology",57500,"Sociology","Graduate Degree","MA","Philip Walsh","Martin Singer","Master"
"AC2400",5.44,4.91,"Academic","LA&PS","Sociology",57500,"Sociology","Graduate Degree","PhD","Philip Walsh","Martin Singer","PhD"
"AC2420",5.62,6.69,"Academic","LA&PS","LAPS - Writing Department",57550,"English & Professional Writing","Degree (Major/Minor/Certificate)","BA","John Spencer","Martin Singer","Bachelor"
"AC2430",5.62,6.69,"Academic","LA&PS","LAPS - Writing Department",57550,"Professional Writing","Degree (Major/Minor/Certificate)","BA","John Spencer","Martin Singer","Bachelor"
"AC2435",4.99,6.11,"Academic","LA&PS","LAPS - Writing Department",57550,"Writing Support","Non- Degree","Non-Degree Studies","John Spencer","Martin Singer","Other"
"AC2460",5.9,5.42,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Engineering","Undergraduate Degree","BASc","Rob Alison","Richard Hornsey","Bachelor"
"AC2470",5.85,4.5,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Engineering","Graduate Degree","MASc","Rick Wildes","Richard Hornsey","Master"
"AC2480",6.42,7.88,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Science","Undergraduate Degree","BA, iBA","Minas Spetsakis","Richard Hornsey","Bachelor"
"AC2490",6.42,7.88,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Science","Undergraduate Degree","BSc, iBSc","Minas Spetsakis","Richard Hornsey","Bachelor"
"AC2500",5.9,5.42,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Science","Graduate Degree","MSc","Rick Wildes","Richard Hornsey","Master"
"AC2510",5.9,5.42,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Science","Graduate Degree","PhD","Rick Wildes","Richard Hornsey","PhD"
"AC2520",5.88,6.01,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Security","Undergraduate Degree","BA","Minas Spetsakis","Richard Hornsey","Bachelor"
"AC2530",5.88,6.01,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Security","Undergraduate Degree","BSc","Minas Spetsakis","Richard Hornsey","Bachelor"
"AC2550",5.47,5.41,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Software Engineering","Undergraduate Degree","BASc","Rob Alison","Richard Hornsey","Bachelor"
"AC2560",5.51,5.21,"Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Digital Media","Undergraduate Degree","BA","Gunnar Gotshalks","Richard Hornsey","Bachelor"
"AC2570",5.59,3.7,"Academic","Lassonde","Earth & Space Science & Engineering",9001,"Geomatics Engineering","","BASc","Gunho Sohn","Richard Hornsey","Bachelor"
"AC2590",5.44,4.29,"Academic","Lassonde","Earth & Space Science & Engineering",9001,"Space Engineering","","BASc","Mike Daly","Richard Hornsey","Bachelor"
"AC2600",5.62,4.88,"Academic","Lassonde","Earth & Space Science & Engineering",9001,"Earth & Space Science","Graduate Degree","MSc","Sunil Bisnath","Richard Hornsey","Master"
"AC2610",5.62,4.88,"Academic","Lassonde","Earth & Space Science & Engineering",9001,"Earth & Space Science","Graduate Degree","PhD","Sunil Bisnath","Richard Hornsey","PhD"
"AC2640",6.13,6.48,"Academic","Lassonde","Earth & Space Science & Engineering",9001,"Earth & Atmospheric Science","Major/Minor","BSc","Yongsheng Chen","Richard Hornsey","Bachelor"
"AC2670",7.5,8.18,"Academic","Osgoode","Osgoode Hall Law School",228,"Law","Undergraduate Degree","JD","Poonam Puri","Lorne Sossin","Other"
"AC2680",5.99,5.48,"Academic","Osgoode","Osgoode Hall Law School",228,"Law","Graduate degree","LLM (Research)","Dayna Scott","Lorne Sossin","Master"
"AC2690",6.42,5.77,"Academic","Osgoode","Osgoode Hall Law School",228,"Law","Graduate degree","PhD (Research)","Dayna Scott","Lorne Sossin","PhD"
"AC2740",7.93,7.39,"Academic","Schulich","Schulich School of Business",229,"Business Administration","Undergraduate Degree","BBA, iBBA","Detlev Zwick","Dezsö Horváth","Bachelor"
"AC2760",8.26,7.79,"Academic","Schulich","Schulich School of Business",229,"Business Administration","Graduate Degree","MBA, iMBA, MBA in India","Steve Weiss","Dezsö Horváth","Master"
"AC2780",6.59,7.09,"Academic","Schulich","Schulich School of Business",229,"Finance","Graduate Degree","M of Finance","Pauline Shum","Dezsö Horváth","Master"
"AC2810",6.15,5.23,"Academic","Schulich","Schulich School of Business",229,"Business","Graduate Degree","PhD","Eileen Fischer","Dezsö Horváth","PhD"
"AC2830",4.28,3.99,"Academic","Science","Biology",20650,"Applied Biotechnology","Degree (minor/major, certificate)","BSc(Tech)","Paula Wilson","Ray Jayawardhana","Bachelor"
"AC2840",7.75,8.49,"Academic","Science","Biology",20650,"Biology","Degree (minor/major, certificate)","BSc, iBSc","Paula Wilson","Ray Jayawardhana","Bachelor"
"AC2850",4.53,4.83,"Academic","Science","Biology",20650,"Environmental Biology","Degree (minor/major, certificate)","BSc","Alex Mills","Ray Jayawardhana","Bachelor"
"AC2860",5.97,6.43,"Academic","Science","Biology",20650,"Biology","Graduate Degree","MSc","Michael Scheid","Ray Jayawardhana","Master"
"AC2870",6.4,7.27,"Academic","Science","Biology",20650,"Biology","Graduate Degree","PhD","Michael Scheid","Ray Jayawardhana","PhD"
"AC2890",6.06,7.2,"Academic","Science","Chemistry",20700,"Chemistry","Degree (minor/major, certificate)","BSc","Gerald Audette","Ray Jayawardhana","Bachelor"
"AC2900",6.5,7.09,"Academic","Science","Chemistry",20700,"Biochemistry","Degree (minor/major, certificate)","BSc","Valeria Tsoukanova","Ray Jayawardhana","Bachelor"
"AC2910",6.13,6.2,"Academic","Science","Chemistry",20700,"Chemistry","Graduate Degree","MSc","Dennis Stynes","Ray Jayawardhana","Master"
"AC2920",6.41,6.54,"Academic","Science","Chemistry",20700,"Chemistry","Graduate Degree","PhD","Gino Lavoie","Ray Jayawardhana","PhD"
"AC2940",5.24,4.4,"Academic","Science","LAPS - Geography",56800,"Geography","Degree (minor/major, certificate)","BSc","Steven Tufts","Ray Jayawardhana","Bachelor"
"AC2950",4.62,4.01,"Academic","Science","LAPS - Geography",56800,"Environmental Science","Degree (minor/major, certificate)","BSc","Steven Tufts","Ray Jayawardhana","Bachelor"
"AC2970",5.78,4.49,"Academic","Science","Mathematics & Statistics",21100,"Applied Mathematics","Degree (minor/major, certificate)","BA","Mike Haslam","Ray Jayawardhana","Bachelor"
"AC2980",5.78,4.49,"Academic","Science","Mathematics & Statistics",21100,"Applied Mathematics","Degree (minor/major, certificate)","BSc","Mike Haslam","Ray Jayawardhana","Bachelor"
"AC2990",5.16,3.7,"Academic","Science","Mathematics & Statistics",21100,"Computational Mathematics","Degree (minor/major, certificate)","BSc","Mike Haslam","Ray Jayawardhana","Bachelor"
"AC3000",5.62,5.51,"Academic","Science","Mathematics & Statistics",21100,"Mathematics","Degree (minor/major, certificate)","BA","Peter Gibson","Ray Jayawardhana","Bachelor"
"AC3010",5.62,5.51,"Academic","Science","Mathematics & Statistics",21100,"Mathematics","Degree (minor/major, certificate)","BSc","Peter Gibson","Ray Jayawardhana","Bachelor"
"AC3020",1.86,2,"Academic","Science","Mathematics & Statistics",21100,"International Dual Degree in Mathematics and Statistics","Degree (minor/major, certificate)","BSc","Steven Wang","Ray Jayawardhana","Bachelor"
"AC3030",6.33,5.48,"Academic","Science","Mathematics & Statistics",21100,"Mathematics for Commerce","Degree (minor/major, certificate)","BA","Ed Furman","Ray Jayawardhana","Bachelor"
"AC3050",5.79,4.29,"Academic","Science","Mathematics & Statistics",21100,"Mathematics for Education","Degree (minor/major, certificate)","BA","Walter Whiteley","Ray Jayawardhana","Bachelor"
"AC3060",5.79,4.29,"Academic","Science","Mathematics & Statistics",21100,"Mathematics for Education","Degree (minor/major, certificate)","BSc","Walter Whiteley","Ray Jayawardhana","Bachelor"
"AC3070",4.89,4.3,"Academic","Science","Mathematics & Statistics",21100,"Statistics","Degree (minor/major, certificate)","BA","Steven Wang","Ray Jayawardhana","Bachelor"
"AC3080",4.89,4.3,"Academic","Science","Mathematics & Statistics",21100,"Statistics","Degree (minor/major, certificate)","BSc","Steven Wang","Ray Jayawardhana","Bachelor"
"AC3090",4.44,4.69,"Academic","Science","Mathematics & Statistics",21100,"Mathematics & Statistics","Graduate Degree","MA","Huaiping Zhu","Ray Jayawardhana","Master"
"AC3110",5.01,3.83,"Academic","Science","Mathematics & Statistics",21100,"Mathematics: Applied & Industrial","Graduate Degree","MSc","Huaiping Zhu","Ray Jayawardhana","Master"
"AC3120",3.2,3.68,"Academic","Science","Mathematics & Statistics",21100,"Mathematics & Statistics","Graduate Degree","PhD","Huaiping Zhu","Ray Jayawardhana","PhD"
"AC3140",5.68,4.7,"Academic","Science","Physics & Astronomy",21050,"Biophysics","Degree (minor/major, certificate)","BSc","Marshall McCall","Ray Jayawardhana","Bachelor"
"AC3150",6.59,5.81,"Academic","Science","Physics & Astronomy",21050,"Physics","Degree (minor/major, certificate)","BSc","Marshall McCall","Ray Jayawardhana","Bachelor"
"AC3160",6.6,5.32,"Academic","Science","Physics & Astronomy",21050,"Physics and Astronomy","Graduate Degree","MSc","Wendy Taylor","Ray Jayawardhana","Master"
"AC3170",6.59,5.12,"Academic","Science","Physics & Astronomy",21050,"Physics and Astronomy","Graduate Degree","PhD","Wendy Taylor","Ray Jayawardhana","PhD"
"AC3190",2.59,3.98,"Academic","Science","Science General",21350,"Science","Degree (minor/major, certificate)","BSc","Peter Cribb","Ray Jayawardhana","Bachelor"
"AC3200",4.55,3.99,"Academic","Science","Applied Science& Technology",21150,"Science and Technology Studies","Degree (minor/major, certificate)","BSc","Ernst Hamm","Ray Jayawardhana","Bachelor"
"AC3210",4.8,4.29,"Academic","Science","Applied Science& Technology",21150,"Science and Technology Studies","Graduate Degree","MA","Jagdish Hattiangadi","Ray Jayawardhana","Master"
"AC3220",5.24,4.39,"Academic","Science","Applied Science& Technology",21150,"Science and Technology Studies","Graduate Degree","PhD","Kenton Kroker","Ray Jayawardhana","PhD"
"AC3360",4.44,4.7,"Academic","MISC - VPAP","Office of the VP Academic & Provost",201,"TYP","","","Alice Pitt","Rhonda Lenton","Other"
