Program_Code,Quality,Sustainability
AC0890,4.5,4.3
AC3320,5.29,6.39
AC1160,6.59,6.61
AC3400,5.69,5.8
AC3330,5.8,5.68
AC3250,5.69,5.5
AC3480,6.3,6.2
AC3260,6.3,5.89
AC3390,6.09,5.7
AC3460,6.09,5.3
AC3270,6.59,5.28
AC3290,6.57,5.68
AC1160,6.59,5.89
AC1170,6.98,5.88
AC3240,7.29,5.89
AC3490,7.19,7.38
AC2730,7.01,7.59
AC3450,7.58,8.09
AC3350,7.89,7.7
AC2660,8.61,7.79
AC3430,8.89,7.91
