"Program_Code","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Quality","Sustainability","Level"
"AC2230","Academic","LA&PS","Social Science",57450,"Social Science","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",4.01,6.11,"Undergraduate"
"AC2240","Academic","LA&PS","Social Science",57450,"South Asian Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",3.82,2.59,"Undergraduate"
"AC2250","Academic","LA&PS","Social Science",57450,"Urban Studies","Degree (Major/Minor/Certificate)","BA, iBA","Kimberley White","Martin Singer",4.38,4.3,"Undergraduate"
"AC2260","Academic","LA&PS","Social Science",57450,"Work & Labour Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",5.44,5.21,"Undergraduate"
"AC2270","Academic","LA&PS","Social Science",57450,"Development Studies","Graduate Degree","MA","Kimberley White","Martin Singer",5.27,4.6,"Master's"
"AC2280","Academic","LA&PS","Social Science",57450,"Social & Political Thought","Graduate Degree","MA","Kimberley White","Martin Singer",4.92,4.5,"Master's"
"AC2290","Academic","LA&PS","Social Science",57450,"Social & Political Thought","Graduate Degree","PhD","Kimberley White","Martin Singer",5.63,5.09,"PhD"
"AC2300","Academic","LA&PS","Social Science",57450,"Socio-Legal Studies","Graduate Degree","MA","Kimberley White","Martin Singer",5.17,4.1,"Master's"
"AC2310","Academic","LA&PS","Social Science",57450,"Socio-Legal Studies","Graduate Degree","PhD","Kimberley White","Martin Singer",5.17,4.1,"PhD"
"AC2340","Academic","LA&PS","Social Work",57350,"Social Work","Degree (Major/Minor/Certificate)","BSW","Barbara Heron","Martin Singer",7.02,5.91,"Undergraduate"
"AC2350","Academic","LA&PS","Social Work",57350,"Social Work","Graduate Degree","MSW","Barbara Heron","Martin Singer",5.7,4.92,"Master's"
"AC2360","Academic","LA&PS","Social Work",57350,"Social Work","Graduate Degree","PhD","Barbara Heron","Martin Singer",5.16,4.59,"PhD"
"AC2380","Academic","LA&PS","Sociology",57500,"Sociology","Degree (Major/Minor/Certificate)","BA","Philip Walsh","Martin Singer",5.7,5.61,"Undergraduate"
"AC2390","Academic","LA&PS","Sociology",57500,"Sociology","Graduate Degree","MA","Philip Walsh","Martin Singer",5.7,5.11,"Master's"
"AC2400","Academic","LA&PS","Sociology",57500,"Sociology","Graduate Degree","PhD","Philip Walsh","Martin Singer",5.44,4.91,"PhD"
"AC2420","Academic","LA&PS","LAPS - Writing Department",57550,"English & Professional Writing","Degree (Major/Minor/Certificate)","BA","John Spencer","Martin Singer",5.62,6.69,"Undergraduate"
"AC2430","Academic","LA&PS","LAPS - Writing Department",57550,"Professional Writing","Degree (Major/Minor/Certificate)","BA","John Spencer","Martin Singer",5.62,6.69,"Undergraduate"
"AC2435","Academic","LA&PS","LAPS - Writing Department",57550,"Writing Support","Non- Degree","Non-Degree Studies","John Spencer","Martin Singer",4.99,6.11,"Other"
"AC2460","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Engineering","Undergraduate Degree","BASc","Rob Alison","Richard Hornsey",5.9,5.42,"Undergraduate"
"AC2470","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Engineering","Graduate Degree","MASc","Rick Wildes","Richard Hornsey",5.85,4.5,"Master's"
"AC2480","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Science","Undergraduate Degree","BA, iBA","Minas Spetsakis","Richard Hornsey",6.42,7.88,"Undergraduate"
"AC2490","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Science","Undergraduate Degree","BSc, iBSc","Minas Spetsakis","Richard Hornsey",6.42,7.88,"Undergraduate"
"AC2500","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Science","Graduate Degree","MSc","Rick Wildes","Richard Hornsey",5.9,5.42,"Master's"
"AC2510","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Science","Graduate Degree","PhD","Rick Wildes","Richard Hornsey",5.9,5.42,"PhD"
"AC2520","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Security","Undergraduate Degree","BA","Minas Spetsakis","Richard Hornsey",5.88,6.01,"Undergraduate"
"AC2530","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Computer Security","Undergraduate Degree","BSc","Minas Spetsakis","Richard Hornsey",5.88,6.01,"Undergraduate"
"AC2550","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Software Engineering","Undergraduate Degree","BASc","Rob Alison","Richard Hornsey",5.47,5.41,"Undergraduate"
"AC2560","Academic","Lassonde","Electrical Engineering & Computer Science",9002,"Digital Media","Undergraduate Degree","BA","Gunnar Gotshalks","Richard Hornsey",5.51,5.21,"Undergraduate"
"AC2570","Academic","Lassonde","Earth & Space Science & Engineering",9001,"Geomatics Engineering","","BASc","Gunho Sohn","Richard Hornsey",5.59,3.7,"Undergraduate"
"AC2590","Academic","Lassonde","Earth & Space Science & Engineering",9001,"Space Engineering","","BASc","Mike Daly","Richard Hornsey",5.44,4.29,"Undergraduate"
"AC2600","Academic","Lassonde","Earth & Space Science & Engineering",9001,"Earth & Space Science","Graduate Degree","MSc","Sunil Bisnath","Richard Hornsey",5.62,4.88,"Master's"
"AC2610","Academic","Lassonde","Earth & Space Science & Engineering",9001,"Earth & Space Science","Graduate Degree","PhD","Sunil Bisnath","Richard Hornsey",5.62,4.88,"PhD"
"AC2640","Academic","Lassonde","Earth & Space Science & Engineering",9001,"Earth & Atmospheric Science","Major/Minor","BSc","Yongsheng Chen","Richard Hornsey",6.13,6.48,"Undergraduate"
"AC2670","Academic","Osgoode","Osgoode Hall Law School",228,"Law","Undergraduate Degree","JD","Poonam Puri","Lorne Sossin",7.5,8.18,"Undergraduate"
"AC2680","Academic","Osgoode","Osgoode Hall Law School",228,"Law","Graduate degree","LLM (Research)","Dayna Scott","Lorne Sossin",5.99,5.48,"Master's"
"AC2690","Academic","Osgoode","Osgoode Hall Law School",228,"Law","Graduate degree","PhD (Research)","Dayna Scott","Lorne Sossin",6.42,5.77,"PhD"
"AC2740","Academic","Schulich","Schulich School of Business",229,"Business Administration","Undergraduate Degree","BBA, iBBA","Detlev Zwick","Dezsö Horváth",7.93,7.39,"Undergraduate"
"AC2760","Academic","Schulich","Schulich School of Business",229,"Business Administration","Graduate Degree","MBA, iMBA, MBA in India","Steve Weiss","Dezsö Horváth",8.26,7.79,"Master's"
"AC2780","Academic","Schulich","Schulich School of Business",229,"Finance","Graduate Degree","M of Finance","Pauline Shum","Dezsö Horváth",6.59,7.09,"Master's"
"AC2810","Academic","Schulich","Schulich School of Business",229,"Business","Graduate Degree","PhD","Eileen Fischer","Dezsö Horváth",6.15,5.23,"PhD"
"AC2830","Academic","Science","Biology",20650,"Applied Biotechnology","Degree (minor/major, certificate)","BSc(Tech)","Paula Wilson","Ray Jayawardhana",4.28,3.99,"Undergraduate"
"AC2840","Academic","Science","Biology",20650,"Biology","Degree (minor/major, certificate)","BSc, iBSc","Paula Wilson","Ray Jayawardhana",7.75,8.49,"Undergraduate"
"AC2850","Academic","Science","Biology",20650,"Environmental Biology","Degree (minor/major, certificate)","BSc","Alex Mills","Ray Jayawardhana",4.53,4.83,"Undergraduate"
"AC2860","Academic","Science","Biology",20650,"Biology","Graduate Degree","MSc","Michael Scheid","Ray Jayawardhana",5.97,6.43,"Master's"
"AC2870","Academic","Science","Biology",20650,"Biology","Graduate Degree","PhD","Michael Scheid","Ray Jayawardhana",6.4,7.27,"PhD"
"AC2890","Academic","Science","Chemistry",20700,"Chemistry","Degree (minor/major, certificate)","BSc","Gerald Audette","Ray Jayawardhana",6.06,7.2,"Undergraduate"
"AC2900","Academic","Science","Chemistry",20700,"Biochemistry","Degree (minor/major, certificate)","BSc","Valeria Tsoukanova","Ray Jayawardhana",6.5,7.09,"Undergraduate"
"AC2910","Academic","Science","Chemistry",20700,"Chemistry","Graduate Degree","MSc","Dennis Stynes","Ray Jayawardhana",6.13,6.2,"Master's"
"AC2920","Academic","Science","Chemistry",20700,"Chemistry","Graduate Degree","PhD","Gino Lavoie","Ray Jayawardhana",6.41,6.54,"PhD"
"AC2940","Academic","Science","LAPS - Geography",56800,"Geography","Degree (minor/major, certificate)","BSc","Steven Tufts","Ray Jayawardhana",5.24,4.4,"Undergraduate"
"AC2950","Academic","Science","LAPS - Geography",56800,"Environmental Science","Degree (minor/major, certificate)","BSc","Steven Tufts","Ray Jayawardhana",4.62,4.01,"Undergraduate"
"AC2970","Academic","Science","Mathematics & Statistics",21100,"Applied Mathematics","Degree (minor/major, certificate)","BA","Mike Haslam","Ray Jayawardhana",5.78,4.49,"Undergraduate"
"AC2980","Academic","Science","Mathematics & Statistics",21100,"Applied Mathematics","Degree (minor/major, certificate)","BSc","Mike Haslam","Ray Jayawardhana",5.78,4.49,"Undergraduate"
"AC2990","Academic","Science","Mathematics & Statistics",21100,"Computational Mathematics","Degree (minor/major, certificate)","BSc","Mike Haslam","Ray Jayawardhana",5.16,3.7,"Undergraduate"
"AC3000","Academic","Science","Mathematics & Statistics",21100,"Mathematics","Degree (minor/major, certificate)","BA","Peter Gibson","Ray Jayawardhana",5.62,5.51,"Undergraduate"
"AC3010","Academic","Science","Mathematics & Statistics",21100,"Mathematics","Degree (minor/major, certificate)","BSc","Peter Gibson","Ray Jayawardhana",5.62,5.51,"Undergraduate"
"AC3020","Academic","Science","Mathematics & Statistics",21100,"International Dual Degree in Mathematics and Statistics","Degree (minor/major, certificate)","BSc","Steven Wang","Ray Jayawardhana",1.86,2,"Undergraduate"
"AC3030","Academic","Science","Mathematics & Statistics",21100,"Mathematics for Commerce","Degree (minor/major, certificate)","BA","Ed Furman","Ray Jayawardhana",6.33,5.48,"Undergraduate"
"AC3050","Academic","Science","Mathematics & Statistics",21100,"Mathematics for Education","Degree (minor/major, certificate)","BA","Walter Whiteley","Ray Jayawardhana",5.79,4.29,"Undergraduate"
"AC3060","Academic","Science","Mathematics & Statistics",21100,"Mathematics for Education","Degree (minor/major, certificate)","BSc","Walter Whiteley","Ray Jayawardhana",5.79,4.29,"Undergraduate"
"AC3070","Academic","Science","Mathematics & Statistics",21100,"Statistics","Degree (minor/major, certificate)","BA","Steven Wang","Ray Jayawardhana",4.89,4.3,"Undergraduate"
"AC3080","Academic","Science","Mathematics & Statistics",21100,"Statistics","Degree (minor/major, certificate)","BSc","Steven Wang","Ray Jayawardhana",4.89,4.3,"Undergraduate"
"AC3090","Academic","Science","Mathematics & Statistics",21100,"Mathematics & Statistics","Graduate Degree","MA","Huaiping Zhu","Ray Jayawardhana",4.44,4.69,"Master's"
"AC3110","Academic","Science","Mathematics & Statistics",21100,"Mathematics: Applied & Industrial","Graduate Degree","MSc","Huaiping Zhu","Ray Jayawardhana",5.01,3.83,"Master's"
"AC3120","Academic","Science","Mathematics & Statistics",21100,"Mathematics & Statistics","Graduate Degree","PhD","Huaiping Zhu","Ray Jayawardhana",3.2,3.68,"PhD"
"AC3140","Academic","Science","Physics & Astronomy",21050,"Biophysics","Degree (minor/major, certificate)","BSc","Marshall McCall","Ray Jayawardhana",5.68,4.7,"Undergraduate"
"AC3150","Academic","Science","Physics & Astronomy",21050,"Physics","Degree (minor/major, certificate)","BSc","Marshall McCall","Ray Jayawardhana",6.59,5.81,"Undergraduate"
"AC3160","Academic","Science","Physics & Astronomy",21050,"Physics and Astronomy","Graduate Degree","MSc","Wendy Taylor","Ray Jayawardhana",6.6,5.32,"Master's"
"AC3170","Academic","Science","Physics & Astronomy",21050,"Physics and Astronomy","Graduate Degree","PhD","Wendy Taylor","Ray Jayawardhana",6.59,5.12,"PhD"
"AC3190","Academic","Science","Science General",21350,"Science","Degree (minor/major, certificate)","BSc","Peter Cribb","Ray Jayawardhana",2.59,3.98,"Undergraduate"
"AC3200","Academic","Science","Applied Science& Technology",21150,"Science and Technology Studies","Degree (minor/major, certificate)","BSc","Ernst Hamm","Ray Jayawardhana",4.55,3.99,"Undergraduate"
"AC3210","Academic","Science","Applied Science& Technology",21150,"Science and Technology Studies","Graduate Degree","MA","Jagdish Hattiangadi","Ray Jayawardhana",4.8,4.29,"Master's"
"AC3220","Academic","Science","Applied Science& Technology",21150,"Science and Technology Studies","Graduate Degree","PhD","Kenton Kroker","Ray Jayawardhana",5.24,4.39,"PhD"
"AC3360","Academic","MISC - VPAP","Office of the VP Academic & Provost",201,"TYP","","","Alice Pitt","Rhonda Lenton",4.44,4.7,"Other"
"AD0010","Administrative","","Division of VP Advancement",700,"Office of VP of Advancement","","","Caterina Elzbet","Jeff O'Hagan",6.73,6.46,"Other"
"AD0020","Administrative","","Division of VP Advancement",700,"Advancement Services","","","Leanne Kipfer","Jeff O'Hagan",6.68,6.8,"Other"
"AD0035","Administrative","","Division of VP Advancement",700,"Community and Alumni Relations","","","James Allan","Jeff O'Hagan",5.32,5.38,"Other"
"AD0050","Administrative","","Division of VP Advancement",700,"Convocation","","","James Allan","Jeff O'Hagan",6.06,6.99,"Other"
"AD0060","Administrative","","Division of VP Advancement",700,"Development","","","Wade Hall","Jeff O'Hagan",5.8,6.85,"Other"
"AD0070","Administrative","","Division of the President",100,"Office of the President","","","Ijade Maxwell Rodrigues","Mamdouh Shoukri",6.56,7.33,"Other"
"AD0080","Administrative","","Division of the President",100,"Ombudsman","","","Ijade Maxwell Rodrigues","Mamdouh Shoukri",1.85,2.18,"Other"
"AD0090","Administrative","","Division of the President",100,"Centre for Human Rights","","","Noel Badiou","Mamdouh Shoukri",6.42,6.74,"Other"
"AD0100","Administrative","","Division of the President",100,"General Counsel","","","Maureen Armtstrong","Mamdouh Shoukri",7.34,6.75,"Other"
"AD0110","Administrative","","Division of the President",100,"University Secretariat","","","Harriet Lewis","Mamdouh Shoukri",6.47,6.74,"Other"
"AD0120","Administrative","","Division of the President",100,"Strategic Communications","","","Susan Webb","Mamdouh Shoukri",2.36,4.16,"Other"
"AD0130","Administrative","","Division of the President",100,"Marketing and Creative Services","","","Susan Webb","Mamdouh Shoukri",3.56,5.02,"Other"
"AD0140","Administrative","","Division of the President",100,"Media Relations","","","Susan Webb","Mamdouh Shoukri",4.4,5.8,"Other"
"AD0150","Administrative","","Division of the President",100,"Strategic Initiatives and Administration","","","Susan Webb","Mamdouh Shoukri",2.64,3.96,"Other"
"AD0160","Administrative","","Division of VP Students",300,"Office of the Vice Provost Students","","","Sheila Forshaw","Rhonda Lenton",7.76,7.17,"Other"
"AD0170","Administrative","","Division of VP Students",300,"Recruitment - Domestic","","","Don Hunt","Janet Morrison",5.8,5.57,"Other"
"AD0180","Administrative","","Division of VP Students",300,"Recruitment - International","","","Don Hunt","Janet Morrison",6.59,5.78,"Other"
"AD0190","Administrative","","Division of VP Students",300,"Admissions (Assessment and Transfer Credit)","","","Don Hunt","Janet Morrison",6.28,6.79,"Other"
"AD0200","Administrative","","Division of VP Students",300,"RO Systems","","","Don Hunt","Janet Morrison",5.11,5.89,"Other"
"AD0210","Administrative","","Division of VP Students",300,"Student Records Management (including Degree Audit)","","","Don Hunt","Janet Morrison",5.04,6.11,"Other"
"AD0220","Administrative","","Division of VP Students",300,"Student Client Services","","","Don Hunt","Janet Morrison",5.02,6.41,"Other"
"AD0230","Administrative","","Division of VP Students",300,"Scheduling – Academic, Accommodated Tests and Exams","","","Don Hunt","Janet Morrison",5.54,4.91,"Other"
"AD0240","Administrative","","Division of VP Students",300,"Financial (Scholarships & Bursaries, Government Aid and Student Financial Services)","","","Don Hunt","Janet Morrison",6.74,6.86,"Other"
"AD0250","Administrative","","Division of VP Students",300,"Communications (Perspective Students, Current Students and Strategic)","","","Donna Cope","Janet Morrison",6.85,6.29,"Other"
"AD0260","Administrative","","Division of VP Students",300,"OSCR","","","Debbie Hansen","Janet Morrison",5.86,5.96,"Other"
"AD0270","Administrative","","Division of VP Students",300,"Career Services","","","Julie Rahmer","Janet Morrison",6.42,7.17,"Other"
"AD0280","Administrative","","Division of VP Students",300,"Experiential Education","","","Julie Rahmer","Janet Morrison",4.87,4.82,"Other"
"AD0290","Administrative","","Division of VP Students",300,"CDS - Personal Counselling and Learning Skills","","","Marc Wilchesky","Janet Morrison",7.21,6.1,"Other"
"AD0300","Administrative","","Division of VP Students",300,"CDS - Disability Services","","","Marc Wilchesky","Janet Morrison",7.16,6.2,"Other"
"AD0310","Administrative","","Division of VP Students",300,"SCLD (excluding Orientation)","","","Catherine Salole","Janet Morrison",7.11,6.54,"Other"
"AD0320","Administrative","","Division of VP Students",300,"Sport & Recreation (Intramurals, Fitness, Recreation, Lifestyle, Camps)","","","Jennifer Myers","Janet Morrison",5.81,6.49,"Other"
"AD0331","Administrative","","Division of VP Students",300,"Sport & Recreation (Marketing, Promotions, Alumni, Fundraising)","","","Jennifer Myers","Janet Morrison",4.34,4.96,"Other"
"AD0332","Administrative","","Division of VP Students",300,"Sports and Recreation (Varsity)","","","Jennifer Myers","Janet Morrison",5.27,5.36,"Other"
"AD0340","Administrative","","Division of VP Students",300,"Sport and Recreation (Facilities)","","","Jennifer Myers","Janet Morrison",5.43,6.59,"Other"
"AD0350","Administrative","","Division of VP Students",300,"YU Start & Orientation","","","Brendan Schulz","Janet Morrison",7.32,5.31,"Other"
"AD0370","Administrative","","Office of the VP Academic & Provost",201,"Office of the Provost","","","Richard Ooi","Rhonda Lenton",8.14,6.81,"Other"
"AD0380","Administrative","","Office of the VP Academic & Provost",201,"Vice-Provost Academic","","","Alice Pitt","Rhonda Lenton",7.1,7.13,"Other"
"AD0390","Administrative","","Office of the VP Academic & Provost",201,"Quality Assurance","","","Anna Pralat","Alice Pitt",5.18,4.86,"Other"
"AD0400","Administrative","","Office of the VP Academic & Provost",201,"YU-TD Community Engagement Centre","","","Yvette Munro","Alice Pitt",4.45,3.8,"Other"
"AD0410","Administrative","","Office of the VP Academic & Provost",201,"Atkinson Centre for Mature & Part-time Students","","","Brian Poser","Alice Pitt",5.54,4.94,"Other"
"AD0420","Administrative","","Office of the VP Academic & Provost",201,"Associate Vice President Teaching & Learning","","","Sue Vail","Rhonda Lenton",6.59,5.97,"Other"
"AD0430","Administrative","","Office of the VP Academic & Provost",201,"Teaching Commons","","","Celia Popovic","Sue Vail",7.71,6.58,"Other"
"AD0440","Administrative","","Office of the VP Academic & Provost",201,"Associate Vice President International","","","Marilyn Lambert-D","Rhonda Lenton",4.28,5.04,"Other"
"AD0450","Administrative","","Office of the VP Academic & Provost",201,"OIPA - Integrated Resource Planning","","","Sarah Cantrell","Rhonda Lenton",7.32,6.54,"Other"
"AD0460","Administrative","","Office of the VP Academic & Provost",201,"OIPA - Institutional Research","","","Sarah Cantrell","Rhonda Lenton",5.91,6.58,"Other"
"AD0480","Administrative","","Office of the VP Academic & Provost",201,"Art Gallery of York University","","","Philip Monk","Rhonda Lenton",7.04,6.58,"Other"
"AD0490","Administrative","","Office of the VP Res&Innovat'n",43000,"Office of VPRI","","","Felix Moses","Robert Hache",6.59,5.9,"Other"
"AD0500","Administrative","","Office of the VP Res&Innovat'n",43000,"Office of Research Services","","","David Phipps","Robert Hache",6.68,6.68,"Other"
"AD0550","Administrative","","Office of the VP Res&Innovat'n",43000,"Office of Research Ethics","","","Allison Collins- Mrakas","Robert Hache",7.99,7.12,"Other"
"AD0560","Administrative","","Office of the VP Res&Innovat'n",43000,"Special Programs","","","Obadiah George","Robert Hache",2.58,6.24,"Other"
"AD0570","Administrative","","PRASE Project",62800,"PRASE","","","Suzanne Killick","Gary Brewer",6.33,6.31,"Other"
"AD0590","Administrative","","York Univ Development Corp",28200,"Property Development, Planning & Advisory","","","Chris Edey","Gary Brewer",7.57,6.64,"Other"
"AD0600","Administrative","","GS-Office of the Dean",18400,"Administrative Support","","","Barbara Crow","Rhonda Lenton",6.56,7.3,"Other"
"AD0620","Administrative","","University Information Technology",407,"Office of the CIO/IT Administration and Planning","","","A Della-Rossa","Bob Gagne",6.87,5.8,"Other"
"AD0630","Administrative","","University Information Technology",407,"Desktop/end user computing","","","Rick Sambhi","Bob Gagne",4.55,5.21,"Other"
"AD0640","Administrative","","University Information Technology",407,"Client Service Support","","","Karen Wash","Bob Gagne",5.49,5.4,"Other"
"AD0660","Administrative","","University Information Technology",407,"Information Security and Identity Management","","","Chris Russel","Bob Gagne",5.64,5.61,"Other"
"AD0670","Administrative","","University Information Technology",407,"Communications Infrastructure Services (Network/Voice/Data Centres)","","","Chris Russel","Bob Gagne",6.68,7.43,"Other"
"AD0680","Administrative","","University Information Technology",407,"Systems, Storage and Database Management","","","Bruce Fisher","Chris Russel",5.33,5.89,"Other"
"AD0690","Administrative","","University Information Technology",407,"Email, Calendaring, Messaging Services","","","Bruce Fisher","Chris Russel",3.78,4.87,"Other"
"AD0700","Administrative","","University Information Technology",407,"Applications Support for Administrative Process Enablement","","","Amar Chana","Peter Rowley",5.86,6.24,"Other"
"AD0710","Administrative","","University Information Technology",407,"Application Support for Student Administration and Student Services","","","Al Regina","Peter Rowley",6.22,6.78,"Other"
"AD0720","Administrative","","University Information Technology",407,"Web Support and Collaborations Services","","","Neal Stephenson","Peter Rowley",4.24,5.94,"Other"
"AD0730","Administrative","","University Information Technology",407,"Classroom Learning Space Support and Student Labs","","","Jason Gerrity","Bob Gagne",4.55,5.66,"Other"
"AD0740","Administrative","","University Information Technology",407,"e-Learning Technology Support (Media Services)","","","Rob Finlayson","Peter Rowley",6.52,6.55,"Other"
"AD0750","Administrative","","Finance",403,"Office of the AVP Finance & CFO","","","Trudy Pound-Curtis","Gary Brewer",7.24,6.58,"Other"
"AD0760","Administrative","","Finance",403,"Comptroller Services","","","Aldo Dimarcantonio","Trudy Pound-Curtis",7.89,6.94,"Other"
"AD0770","Administrative","","Finance",403,"Research Financial Services","","","Aldo Dimarcantonio","Trudy Pound-Curtis",6.93,6.21,"Other"
"AD0780","Administrative","","Finance",403,"Budgets & Planning","","","Aldo Dimarcantonio","Trudy Pound-Curtis",6.16,6.4,"Other"
"AD0790","Administrative","","Finance",403,"Procurement Services","","","Dexter King","Trudy Pound-Curtis",6.74,5.57,"Other"
"AD0800","Administrative","","Finance",403,"Treasury & Investments","","","Laurie Lawson","Trudy Pound-Curtis",6.05,5.89,"Other"
"AD0810","Administrative","","Finance",403,"Pension Fund Management","","","Leona Fields","Trudy Pound-Curtis",5.8,6.54,"Other"
"AD0820","Administrative","","Finance",403,"Insurance & Risk Management Services","","","Steve Pottle","Trudy Pound-Curtis",7.03,7.71,"Other"
"AD0830","Administrative","","Human Resources",404,"Office of the AVP HR","","","Aileen Ashman","Gary Brewer",4.27,5.24,"Other"
"AD0840","Administrative","","Human Resources",404,"Compensation","","","Christine Ablack","Aileen Ashman",4.13,5.68,"Other"
"AD0850","Administrative","","Human Resources",404,"Pension & Benefits","","","Terisa Ducharme","Aileen Ashman",4.49,5.24,"Other"
"AD0860","Administrative","","Human Resources",404,"Learning & Organizational Development","","","Suzanne Killick","Aileen Ashman",5.12,5.91,"Other"
"AD0870","Administrative","","Human Resources",404,"Recruitment Services","","","Lisa Tomassi","Aileen Ashman",4.15,6.29,"Other"
"AD0880","Administrative","","Human Resources",404,"Payroll & Employee Records","","","Thyra Garcia","Aileen Ashman",4.03,5.24,"Other"
"AD0890","Administrative","","Human Resources",404,"HR Information Management","","","Sue Bulof","Aileen Ashman",3.91,4.86,"Other"
"AD0900","Administrative","","Human Resources",404,"Non-Academic Employee Relations","","","Donna Smith","Aileen Ashman",6.56,7.39,"Other"
"AD0910","Administrative","","Human Resources",404,"Employee Health, Safety & Well-being","","","Vanessa Aguiar","Aileen Ashman",6.7,5.96,"Other"
"AD0920","Administrative","","Human Resources",404,"CSBO Human Resources & Administration","","","Joanne Cary","Aileen Ashman",4.08,5.84,"Other"
"AD0930","Administrative","","Division of VP Finance & Administration",404,"Faculty Relations","","","Barry Miller","Gary Brewer",6.06,5.31,"Other"
"AD0940","Administrative","","Campus Services & Business Operations",402,"Office of the AVP CSBO","","","Richard Francki","Gary Brewer",5.94,5.56,"Other"
"AD0950","Administrative","","Campus Services & Business Operations",402,"Central Utilities & Energy Management","","","Brad Cochrane","Richard Francki",6.28,7.17,"Other"
"AD0960","Administrative","","Campus Services & Business Operations",402,"Building Maintenance","","","Steve Sicluna","Richard Francki",5.76,5.76,"Other"
"AD0970","Administrative","","Campus Services & Business Operations",402,"Facilities Development","","","Alan Wong","Richard Francki",5.18,5.46,"Other"
"AD0980","Administrative","","Campus Services & Business Operations",402,"Space Planning & Renovations","","","Patrick Saavedra","Richard Francki",5.23,5.62,"Other"
"AD0990","Administrative","","Campus Services & Business Operations",402,"Custodial Services","","","Bob Smith","Richard Francki",3.72,5.57,"Other"
"AD1000","Administrative","","Campus Services & Business Operations",402,"Grounds, Fleet & Waste Management","","","Bob Smith","Richard Francki",4.64,6.09,"Other"
"AD1010","Administrative","","Campus Services & Business Operations",402,"Campus Planning & Sustainability","","","Helen Psathas","Richard Francki",5,5.14,"Other"
"AD1020","Administrative","","Campus Services & Business Operations",402,"Transportation Services","","","Helen Psathas","Richard Francki",4.79,5.31,"Other"
"AD1030","Administrative","","Campus Services & Business Operations",402,"CSBO – Finance","","","Stephen Jacobson","Richard Francki",5.74,5.57,"Other"
"AD1040","Administrative","","Campus Services & Business Operations",402,"Mailing Services","","","Steve Glassman","Richard Francki",5.99,4.73,"Other"
"AD1050","Administrative","","Campus Services & Business Operations",402,"Bookstore","","","Steve Glassman","Richard Francki",6.1,6.3,"Other"
"AD1060","Administrative","","Campus Services & Business Operations",402,"Printing Services","","","Steve Glassman","Richard Francki",4.33,2.97,"Other"
"AD1070","Administrative","","Campus Services & Business Operations",402,"Student Housing Services","","","Debbie Kee","Richard Francki",5.11,5.72,"Other"
"AD1080","Administrative","","Campus Services & Business Operations",402,"Accommodation & Conference Services","","","Debbie Kee","Richard Francki",4.81,5.78,"Other"
"AD1090","Administrative","","Campus Services & Business Operations",402,"Food Services","","","Anthony Barbisan","Richard Francki",6.53,7.12,"Other"
"AD1100","Administrative","","Campus Services & Business Operations",402,"Parking Services","","","Anthony Barbisan","Richard Francki",6.53,7.12,"Other"
"AD1110","Administrative","","Campus Services & Business Operations",402,"YU Card","","","Anthony Barbisan","Richard Francki",6.62,6.4,"Other"
"AD1120","Administrative","","Campus Services & Business Operations",402,"Lease and Contract Management","","","Stephen Jacobson","Richard Francki",5.48,5.33,"Other"
"AD1130","Administrative","","Campus Services & Business Operations",402,"Security Services","","","Aldo Altomare","Richard Francki",5.25,6.51,"Other"
"AD1140","Administrative","","Campus Services & Business Operations",402,"Emergency Preparedness","","","Aldo Altomare","Richard Francki",3.67,4.65,"Other"
"AD1150","Administrative","","Campus Services & Business Operations",402,"Safety Initiatives","","","Rob Castle","Gary Brewer",4.96,6.24,"Other"
"AD1160","Administrative","","Campus Services & Business Operations",402,"goSAFE","","","Helen Psathas","Richard Francki",6.83,6.09,"Other"
"AD1170","Administrative","","Division of VP Finance & Administration",400,"Office of the VP Finance and Administration","","","Robert Castle","Gary Brewer",7.3,7.25,"Other"
"AD1180","Administrative","","Division of VP Finance & Administration",400,"Internal Audit","","","Ran Lewin","Gary Brewer",7.78,6.71,"Other"
"AD1190","Administrative","","Division of VP Finance & Administration",400,"Temporary Use of University Space","","","Pam Persaud","Rob Castle",4.98,5.26,"Other"
"AD1200","Administrative","Education","ED-Office of the Dean",16150,"Dean’s Office","","","Andrea Torre","Ron Owston",4.99,5.31,"Other"
"AD1210","Administrative","Education","ED-Education Resource Centre",16400,"Education Resource Centre","","","Adam Trent","Ron Owston",4.13,2.87,"Other"
"AD1230","Administrative","Env Studies","ES-Office of the Dean",16550,"Dean’s Office","","","Paul Elliot","Noël Sturgeon",6.84,5.61,"Other"
