"Program_Code","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Quality","Sustainability","Level"
"AC0570","Academic","Glendon","French Studies",17350,"Études françaises","Graduate Degree","MA","Mario Roy","Donald Ipperciel",4.28,4.79,"Master's"
"AC0580","Academic","Glendon","French Studies",17350,"Études francophones","Graduate Degree","PhD","Mario Roy","Donald Ipperciel",3.83,4.7,"PhD"
"AC0610","Academic","Glendon","History",17400,"History","Degree (minor/major)","BA, iBA","Gillian McGillivray","Donald Ipperciel",5.6,5.27,"Undergraduate"
"AC0630","Academic","Glendon","International Studies",17950,"International Studies","Degree (minor/major)","BA, iBA","Stanislav J. Kirschbaum","Donald Ipperciel",5.93,6.19,"Undergraduate"
"AC0650","Academic","Glendon","Mathematics",17500,"Mathematics","Degree (minor/major)","BA, iBA","David Spring","Donald Ipperciel",4.27,4.1,"Undergraduate"
"AC0670","Academic","Glendon","Multi Disciplinary Studies",17550,"Environmental & Health Studies","Degree (minor/major)","BA, iBA","Radu Guiasu","Donald Ipperciel",5.88,6.53,"Undergraduate"
"AC0680","Academic","Glendon","Multi Disciplinary Studies",17550,"Drama Studies","Degree (minor/major)","BA, iBA","Guillaume Bernardi","Donald Ipperciel",4.3,4.7,"Undergraduate"
"AC0690","Academic","Glendon","Multi Disciplinary Studies",17550,"Individualized Studies","Degree (minor/major)","BA, iBA","Colin Coates","Donald Ipperciel",2.59,2.81,"Undergraduate"
"AC0700","Academic","Glendon","Multi Disciplinary Studies",17550,"Linguistics and Languages","Degree (minor/major)","BA","Ian Martin","Donald Ipperciel",5.08,5.92,"Undergraduate"
"AC0710","Academic","Glendon","Multi Disciplinary Studies",17550,"Canadian Studies","Degree (minor/major)","BA, iBA","Geoffrey Ewen","Donald Ipperciel",4.99,3.7,"Undergraduate"
